transaction_amount,transaction_hour,customer_age,customer_tenure_months,merchant_risk_level,transaction_velocity,transaction_type,device_type,location_type,payment_method,is_fraud
231.64,13,20,65,High,5,E-commerce,Mobile,Domestic,Card,0
545.34,19,26,110,Low,2,POS,Mobile,Domestic,UPI,1
115.7,23,19,77,Medium,3,E-commerce,Mobile,Domestic,UPI,0
983.83,0,27,3,Low,2,E-commerce,Desktop,Domestic,UPI,1
1230.33,12,34,59,Low,1,E-commerce,Mobile,Domestic,Card,0
791.4,21,48,84,Medium,3,In-App,Mobile,Domestic,Card,0
4411.39,1,18,63,Medium,2,In-App,Desktop,Domestic,Card,0
1103.07,21,35,5,Low,2,E-commerce,Mobile,Domestic,Card,1
824.51,13,23,66,Low,1,In-App,Tablet,Domestic,UPI,0
1956.02,0,55,90,High,2,POS,Desktop,Domestic,Card,0
379.75,14,58,117,Low,4,E-commerce,Mobile,International,Card,0
4051.21,17,59,93,High,4,POS,Desktop,Domestic,Card,0
193.69,8,64,18,Medium,1,E-commerce,Mobile,Domestic,Card,0
10835.37,21,21,9,Medium,2,E-commerce,Desktop,Domestic,Card,0
3698.71,7,57,22,Low,3,E-commerce,Mobile,International,Wallet,1
553.85,6,21,28,Low,1,POS,Mobile,Domestic,Wallet,0
13.84,8,52,60,Low,1,In-App,Desktop,Domestic,Wallet,0
4224.74,8,21,12,Low,4,E-commerce,Desktop,Domestic,Card,0
3067.74,10,18,37,Low,2,E-commerce,Desktop,Domestic,UPI,0
3264.16,3,58,82,Low,6,E-commerce,Mobile,Domestic,Card,0
3688.04,6,60,119,Low,1,POS,Mobile,Domestic,UPI,0
192.32,20,48,119,Low,3,E-commerce,Mobile,Domestic,UPI,1
1109.73,6,36,98,Low,1,E-commerce,Mobile,Domestic,Card,0
307.88,3,38,42,Medium,1,E-commerce,Desktop,Domestic,Card,0
4971.32,11,47,54,Medium,3,POS,Mobile,Domestic,UPI,0
2440.75,16,69,42,High,4,E-commerce,Mobile,Domestic,Wallet,1
1004.55,19,24,67,Low,3,In-App,Mobile,Domestic,Card,0
164.17,2,22,56,Medium,1,In-App,Mobile,Domestic,UPI,0
931.22,8,19,46,Low,6,In-App,Mobile,Domestic,UPI,1
983.29,4,68,5,Medium,4,E-commerce,Mobile,Domestic,Card,0
3269.69,19,20,56,Low,2,E-commerce,Desktop,Domestic,Card,1
2537.22,15,32,23,Medium,4,In-App,Mobile,Domestic,Card,1
5455.63,7,56,62,Low,0,In-App,Mobile,Domestic,Card,0
1597.67,20,54,13,Low,2,E-commerce,Desktop,Domestic,Card,0
318.43,15,27,59,Low,2,In-App,Mobile,Domestic,Card,0
3122.82,18,26,88,Low,3,In-App,Desktop,Domestic,UPI,0
3575.98,15,40,28,Low,3,In-App,Mobile,International,Card,1
2059.72,17,31,81,Medium,6,In-App,Desktop,Domestic,Card,0
3684.72,14,62,6,Medium,3,E-commerce,Mobile,International,Card,0
1702.04,23,50,61,Low,6,E-commerce,Mobile,Domestic,Card,0
1849.2,17,33,61,Medium,6,In-App,Desktop,Domestic,UPI,0
1394.54,13,37,91,Low,3,E-commerce,Mobile,Domestic,Wallet,0
64.37,23,25,45,Low,2,E-commerce,Mobile,Domestic,Wallet,0
285.42,15,66,93,Medium,3,E-commerce,Mobile,International,Card,0
79.83,4,55,12,Medium,1,POS,Mobile,International,Card,0
2529.32,7,51,35,Medium,1,POS,Mobile,Domestic,UPI,0
943.49,15,48,62,Low,4,POS,Mobile,Domestic,Wallet,1
1776.09,20,62,112,High,7,E-commerce,Mobile,Domestic,UPI,1
5953.16,0,25,5,High,1,POS,Mobile,Domestic,Wallet,0
716.85,10,42,66,Low,2,POS,Tablet,Domestic,Card,0
1320.7,10,58,75,High,3,In-App,Mobile,Domestic,Wallet,0
3521.87,1,30,68,Low,4,E-commerce,Desktop,Domestic,Card,1
649.51,21,35,86,Low,7,POS,Desktop,Domestic,UPI,1
200.26,18,67,65,High,5,E-commerce,Mobile,International,Card,0
855.35,23,58,109,Low,3,E-commerce,Mobile,Domestic,Card,0
439.52,4,51,114,Low,2,POS,Mobile,Domestic,Wallet,0
6637.38,2,53,80,Low,4,E-commerce,Mobile,Domestic,Card,1
4127.22,22,67,66,Low,4,POS,Desktop,International,Card,1
2508.74,7,34,41,Low,3,E-commerce,Desktop,Domestic,Card,0
5128.8,3,29,27,Low,1,POS,Desktop,International,UPI,1
4069.92,12,33,76,Low,4,POS,Mobile,Domestic,UPI,1
516.24,21,30,5,Low,3,POS,Mobile,Domestic,Card,0
5577.03,13,28,5,Low,2,POS,Desktop,Domestic,UPI,0
1937.75,0,31,86,Medium,2,POS,Mobile,Domestic,Card,0
4118.37,4,59,13,Medium,4,POS,Mobile,Domestic,UPI,0
5660.61,20,45,80,Medium,4,E-commerce,Mobile,Domestic,UPI,0
956.83,6,68,90,Low,4,E-commerce,Desktop,Domestic,Card,1
291.48,22,41,115,Low,1,E-commerce,Mobile,Domestic,UPI,1
646.72,5,34,9,Medium,0,E-commerce,Desktop,Domestic,Card,1
1392.64,14,26,48,Low,0,E-commerce,Mobile,Domestic,Wallet,0
4259.57,14,63,32,Medium,4,POS,Mobile,Domestic,Card,0
4928.36,7,47,83,Low,3,POS,Desktop,International,Card,0
17.44,1,54,36,Low,2,E-commerce,Tablet,Domestic,Card,1
1787.19,13,20,92,Low,2,E-commerce,Mobile,Domestic,Card,0
1350.68,15,25,15,Low,1,E-commerce,Desktop,International,Wallet,0
627.92,22,35,9,Low,2,In-App,Mobile,Domestic,UPI,1
319.2,9,47,16,Low,2,POS,Mobile,Domestic,Card,0
1029.77,14,20,6,High,0,In-App,Desktop,Domestic,Wallet,0
7157.8,22,51,72,High,3,E-commerce,Desktop,Domestic,Card,1
975.96,3,60,33,Medium,5,In-App,Desktop,Domestic,Card,0
1828.63,11,45,96,High,1,E-commerce,Mobile,Domestic,Wallet,1
3035.22,9,54,110,Medium,3,E-commerce,Tablet,Domestic,Wallet,0
1129.94,1,42,100,Low,2,POS,Mobile,International,Card,0
8919.5,3,47,42,Medium,6,POS,Mobile,Domestic,Wallet,1
8205.02,19,24,59,Low,2,POS,Mobile,Domestic,Card,1
725.15,5,63,112,Medium,5,E-commerce,Desktop,Domestic,Card,0
1719.15,13,46,36,Low,2,E-commerce,Mobile,Domestic,Card,0
894.83,22,68,34,Medium,3,E-commerce,Mobile,International,Wallet,0
838.12,2,19,2,Low,2,E-commerce,Mobile,Domestic,UPI,0
93.96,14,43,13,Low,1,In-App,Mobile,Domestic,UPI,0
2351.23,0,58,43,High,5,E-commerce,Mobile,Domestic,Card,1
1746.3,18,59,74,High,5,POS,Desktop,Domestic,Card,1
132.13,0,68,57,High,4,E-commerce,Desktop,Domestic,UPI,0
816.56,12,66,102,Medium,2,In-App,Mobile,Domestic,Card,0
5972.15,7,24,7,Medium,2,POS,Mobile,Domestic,UPI,0
684.65,17,35,59,Low,4,In-App,Tablet,International,UPI,1
391.33,21,23,59,Low,2,E-commerce,Mobile,Domestic,Card,0
1680.68,2,58,111,Low,2,POS,Desktop,Domestic,UPI,0
10610.09,22,57,116,Low,2,E-commerce,Mobile,Domestic,UPI,0
692.86,17,44,51,Low,3,E-commerce,Mobile,International,Card,0
2787.89,19,58,3,Low,2,In-App,Mobile,Domestic,UPI,0
3584.72,8,41,117,Low,2,E-commerce,Desktop,Domestic,Card,1
678.33,5,50,27,Low,4,POS,Desktop,International,Wallet,1
3256.87,19,48,78,Medium,1,E-commerce,Mobile,Domestic,Card,0
1146.31,1,51,54,Low,2,E-commerce,Desktop,Domestic,Card,0
2501.26,3,39,94,Low,3,In-App,Mobile,Domestic,Wallet,1
2509.59,17,41,64,Low,3,E-commerce,Mobile,Domestic,UPI,0
1918.46,6,53,34,Low,3,E-commerce,Mobile,Domestic,Wallet,0
236.57,10,45,23,High,4,POS,Mobile,Domestic,Wallet,0
4509.11,4,37,48,Medium,2,E-commerce,Mobile,Domestic,Card,0
967.03,7,35,55,Low,6,In-App,Mobile,Domestic,Card,0
516.08,10,59,17,Low,2,E-commerce,Mobile,Domestic,Wallet,0
104.07,23,49,79,Low,5,POS,Mobile,Domestic,Wallet,1
2234.45,19,50,62,Medium,3,E-commerce,Mobile,Domestic,Card,0
2829.63,19,27,109,High,2,E-commerce,Desktop,Domestic,Wallet,0
41.82,14,26,61,Low,3,POS,Mobile,Domestic,UPI,0
1794.08,23,42,61,Medium,3,In-App,Desktop,Domestic,Card,0
642.06,2,30,44,Low,5,POS,Desktop,Domestic,Card,0
2590.31,6,64,71,Medium,2,E-commerce,Mobile,Domestic,UPI,0
479.01,23,67,116,Low,2,E-commerce,Mobile,Domestic,UPI,0
2935.53,7,62,116,Low,3,In-App,Mobile,International,Card,1
1222.4,10,22,3,Low,4,In-App,Mobile,Domestic,Card,1
6900.86,9,48,73,Low,3,POS,Mobile,Domestic,Wallet,1
369.86,19,48,67,Medium,1,E-commerce,Mobile,Domestic,Wallet,0
1042.83,8,51,112,High,3,E-commerce,Mobile,Domestic,UPI,0
301.11,14,43,116,Low,4,POS,Desktop,Domestic,Card,0
6465.48,19,24,99,Low,1,E-commerce,Desktop,Domestic,Card,0
5245.83,23,58,104,Low,5,E-commerce,Mobile,International,UPI,0
745.82,21,68,8,Low,3,E-commerce,Mobile,Domestic,Card,0
2696.91,4,63,26,Low,2,In-App,Mobile,Domestic,UPI,0
4248.71,14,66,15,Low,1,POS,Mobile,International,Card,0
2025.33,3,69,5,Medium,4,E-commerce,Mobile,Domestic,Wallet,0
1885.7,4,37,13,Medium,3,POS,Mobile,Domestic,Card,0
692.19,14,60,79,Low,3,E-commerce,Desktop,Domestic,Wallet,0
244.32,16,39,103,Medium,2,E-commerce,Desktop,Domestic,Card,1
5687.81,22,22,12,High,4,In-App,Mobile,Domestic,UPI,0
5766.94,7,29,99,Low,5,E-commerce,Mobile,Domestic,UPI,0
2506.67,18,38,63,Low,0,POS,Mobile,International,Card,1
1035.12,8,26,8,Medium,4,E-commerce,Mobile,Domestic,Wallet,0
1073.92,9,46,74,Medium,3,E-commerce,Mobile,Domestic,Card,0
3236.16,4,44,34,Low,7,POS,Mobile,Domestic,Card,0
5685.24,9,34,72,Medium,7,POS,Mobile,Domestic,Card,0
5452.83,21,57,22,Low,4,POS,Mobile,Domestic,Card,0
3783.91,0,41,50,Low,4,E-commerce,Tablet,Domestic,Card,1
2568.28,21,44,12,Medium,1,In-App,Mobile,Domestic,Wallet,0
219.73,23,25,22,High,4,E-commerce,Desktop,Domestic,Card,1
440.74,3,61,91,Medium,7,POS,Tablet,Domestic,UPI,0
5720.58,20,46,58,High,6,E-commerce,Mobile,Domestic,UPI,1
2331.23,4,36,82,Low,5,In-App,Mobile,Domestic,Wallet,0
23.1,22,27,19,Low,4,E-commerce,Desktop,International,Card,0
267.49,6,41,5,Low,5,E-commerce,Mobile,International,Wallet,0
2722.91,22,51,16,Low,5,E-commerce,Mobile,Domestic,Wallet,0
12.69,4,57,113,Medium,2,E-commerce,Mobile,Domestic,Card,0
438.29,19,48,41,Low,5,POS,Mobile,Domestic,Card,0
1989.24,7,63,74,Low,4,E-commerce,Desktop,Domestic,Wallet,0
2943.29,16,68,19,Medium,4,E-commerce,Mobile,Domestic,Card,1
2638.6,0,21,108,Low,2,POS,Mobile,Domestic,Wallet,1
634.87,21,58,65,Low,7,E-commerce,Desktop,Domestic,Card,0
3113.54,17,62,22,High,3,E-commerce,Mobile,Domestic,Card,1
677.06,11,48,17,Medium,3,E-commerce,Mobile,Domestic,UPI,0
984.09,2,26,35,Medium,3,E-commerce,Mobile,Domestic,UPI,0
3430.89,19,43,39,Medium,4,POS,Desktop,International,Card,0
2621.93,13,30,116,Low,3,E-commerce,Mobile,Domestic,UPI,1
4729.89,15,65,73,Low,6,In-App,Mobile,Domestic,Wallet,0
2679.53,17,43,55,Low,2,POS,Mobile,Domestic,Wallet,1
2100.11,9,18,5,Medium,1,POS,Desktop,Domestic,UPI,1
245.89,22,57,73,Low,1,E-commerce,Mobile,Domestic,Card,0
1146.04,14,26,115,Medium,3,E-commerce,Mobile,International,UPI,0
770.4,9,48,11,Low,3,In-App,Tablet,Domestic,Wallet,1
699.25,0,41,78,Medium,3,In-App,Mobile,International,Card,1
9030.77,18,62,110,Low,2,In-App,Mobile,Domestic,Wallet,1
1248.47,1,66,40,Medium,3,E-commerce,Mobile,Domestic,UPI,0
5565.14,12,39,88,Medium,3,E-commerce,Desktop,Domestic,UPI,0
2493.34,15,26,84,Medium,2,E-commerce,Desktop,Domestic,Card,0
3959.56,7,56,97,Medium,4,E-commerce,Desktop,International,Card,0
1746.09,2,40,4,Low,4,POS,Mobile,Domestic,Wallet,0
2150.39,20,37,80,Low,3,POS,Mobile,Domestic,UPI,0
1695.73,18,59,89,Low,2,In-App,Mobile,Domestic,UPI,0
543.04,13,38,58,Low,4,E-commerce,Mobile,International,Wallet,1
3204.4,10,44,65,Medium,4,E-commerce,Mobile,International,Card,1
823.94,11,22,115,High,3,E-commerce,Mobile,Domestic,Card,1
61.54,10,34,88,Low,2,E-commerce,Mobile,Domestic,Card,1
2592.42,10,51,64,Medium,3,POS,Mobile,Domestic,UPI,0
487.33,21,26,67,Medium,4,POS,Mobile,International,Wallet,0
7052.71,20,51,96,High,5,E-commerce,Mobile,Domestic,Card,1
7693.91,17,27,34,Medium,3,In-App,Mobile,Domestic,UPI,1
6158.77,9,61,113,Medium,2,POS,Mobile,Domestic,Card,1
1155.72,15,19,89,Low,4,E-commerce,Desktop,Domestic,Card,0
38.94,7,64,107,Low,4,E-commerce,Desktop,Domestic,Wallet,0
6588.81,5,42,58,Low,4,E-commerce,Mobile,Domestic,UPI,0
1397.35,18,20,67,High,1,POS,Mobile,Domestic,UPI,0
8502.11,12,51,7,Low,0,In-App,Mobile,Domestic,UPI,1
8284.34,14,24,106,Low,3,POS,Mobile,Domestic,UPI,1
4793.47,12,45,35,High,2,E-commerce,Mobile,Domestic,Card,1
871.94,0,26,29,Medium,4,E-commerce,Mobile,Domestic,Card,0
1215.73,20,28,104,Medium,5,E-commerce,Mobile,International,Card,0
4761.82,1,46,25,Low,2,E-commerce,Mobile,International,UPI,1
952.87,12,33,28,Low,3,In-App,Mobile,Domestic,UPI,0
464.3,1,56,88,Low,2,E-commerce,Mobile,Domestic,Card,1
2034.34,10,46,69,Medium,3,E-commerce,Tablet,Domestic,Wallet,0
6878.23,12,30,27,Low,5,E-commerce,Mobile,Domestic,Card,1
2977.06,9,52,74,Low,4,E-commerce,Mobile,Domestic,Card,1
2110.28,22,28,76,Medium,0,E-commerce,Desktop,International,Card,0
255.57,21,52,82,Low,4,E-commerce,Desktop,Domestic,Wallet,0
2386.33,14,64,102,Low,6,In-App,Mobile,Domestic,Wallet,1
11526.42,0,25,8,Medium,6,E-commerce,Mobile,Domestic,Wallet,1
377.3,13,24,114,Medium,5,POS,Mobile,Domestic,Wallet,0
1826.24,9,22,38,High,4,In-App,Desktop,Domestic,Card,1
5246.52,17,23,119,Low,0,E-commerce,Mobile,Domestic,Card,0
3375.09,10,68,94,Low,5,E-commerce,Mobile,Domestic,Card,0
2985.19,6,52,9,Low,2,E-commerce,Mobile,Domestic,Card,0
3030.72,14,47,112,Low,2,In-App,Tablet,Domestic,UPI,0
1113.73,2,28,43,High,3,POS,Desktop,Domestic,Card,0
868.91,1,55,25,High,3,E-commerce,Desktop,Domestic,Wallet,1
4143.44,21,44,94,High,3,POS,Desktop,Domestic,UPI,1
4153.32,7,38,66,Low,0,E-commerce,Mobile,Domestic,UPI,0
5044.88,7,31,17,Medium,5,E-commerce,Mobile,Domestic,Card,0
6111.54,10,66,109,Low,2,In-App,Mobile,Domestic,UPI,0
1790.23,15,52,7,Low,2,POS,Desktop,Domestic,UPI,1
1740.46,1,46,22,Low,4,E-commerce,Desktop,Domestic,Card,0
4002.37,21,41,10,Low,0,E-commerce,Mobile,Domestic,Card,0
2624.3,4,53,90,Low,3,E-commerce,Mobile,Domestic,UPI,1
3026.38,6,58,13,Low,4,In-App,Mobile,Domestic,Card,0
3971.55,19,62,42,High,3,E-commerce,Mobile,Domestic,Card,0
5518.31,12,49,28,Medium,5,E-commerce,Mobile,Domestic,Card,0
1031.21,1,23,100,Medium,4,POS,Mobile,Domestic,Card,1
1177.34,2,27,59,Low,6,E-commerce,Mobile,Domestic,UPI,0
246.74,8,37,11,Medium,2,POS,Desktop,International,Card,1
2158.54,9,37,9,Medium,4,E-commerce,Mobile,International,Wallet,0
91.51,23,43,80,Low,3,E-commerce,Mobile,Domestic,Card,0
1566.52,12,38,81,Medium,3,E-commerce,Mobile,Domestic,Card,1
1955.74,20,62,55,High,3,E-commerce,Mobile,Domestic,Card,1
844.08,12,40,5,Medium,5,E-commerce,Mobile,Domestic,Card,0
2234.08,4,63,69,Low,3,POS,Mobile,Domestic,UPI,0
77.44,22,29,38,Low,8,POS,Desktop,Domestic,Card,0
95.16,6,30,95,Low,6,In-App,Desktop,Domestic,Card,0
4323.38,16,27,66,High,2,E-commerce,Desktop,Domestic,UPI,0
1116.46,14,24,91,Medium,2,E-commerce,Mobile,Domestic,Card,1
339.72,4,54,110,Low,6,In-App,Desktop,International,UPI,1
1846.63,23,29,107,Medium,3,E-commerce,Mobile,Domestic,Card,0
3674.12,6,42,83,Low,2,POS,Desktop,Domestic,Card,0
607.8,1,19,64,Low,2,E-commerce,Mobile,Domestic,Wallet,1
2438.05,23,57,107,Medium,3,In-App,Desktop,Domestic,Card,0
223.03,17,43,25,Low,2,E-commerce,Mobile,Domestic,Card,1
132.66,9,57,52,Low,3,E-commerce,Mobile,Domestic,UPI,0
1894.77,0,68,38,Low,3,POS,Mobile,Domestic,Card,0
1944.78,13,22,77,Low,2,POS,Mobile,Domestic,UPI,0
2536.34,18,25,93,Medium,5,In-App,Mobile,Domestic,Card,1
3237.4,15,59,19,Medium,5,E-commerce,Desktop,International,Card,1
9308.89,18,62,99,Medium,2,In-App,Tablet,Domestic,UPI,1
1815.73,5,26,25,Low,5,E-commerce,Mobile,Domestic,Card,1
975.05,11,56,48,Medium,3,E-commerce,Mobile,Domestic,Card,0
3964.13,2,37,73,Low,0,E-commerce,Mobile,Domestic,Card,0
789.63,6,69,61,Low,4,In-App,Mobile,Domestic,Card,0
1444.96,23,68,35,Low,5,In-App,Mobile,Domestic,Card,0
204.26,2,28,51,Low,1,E-commerce,Desktop,Domestic,UPI,0
64.19,16,57,15,Low,3,E-commerce,Mobile,International,Card,1
8218.45,14,39,86,Low,2,E-commerce,Mobile,International,UPI,1
4519.42,18,33,77,Medium,4,E-commerce,Mobile,International,Wallet,0
2976.61,18,59,49,Low,1,E-commerce,Mobile,Domestic,Card,0
1314.65,22,55,30,Low,5,E-commerce,Mobile,Domestic,Card,0
475.77,10,59,21,Low,1,POS,Mobile,Domestic,Card,0
425.3,20,27,89,Low,6,E-commerce,Desktop,International,Card,0
720.01,19,42,89,Low,3,In-App,Tablet,Domestic,Card,1
1991.98,1,36,104,High,5,E-commerce,Mobile,Domestic,UPI,0
3134.62,6,21,86,Low,1,POS,Mobile,Domestic,UPI,0
2698.48,18,36,110,High,2,POS,Mobile,Domestic,Card,1
821.03,6,20,41,Low,1,E-commerce,Mobile,Domestic,Wallet,0
7745.26,9,34,3,Low,2,POS,Mobile,Domestic,Card,1
3347.54,11,31,73,Medium,2,POS,Desktop,International,Wallet,1
2020.58,22,27,24,Medium,2,E-commerce,Desktop,Domestic,Card,0
2365.08,17,23,108,Low,5,E-commerce,Mobile,Domestic,Card,1
1360.09,22,48,111,Low,1,In-App,Desktop,Domestic,Wallet,0
711.65,5,48,96,Medium,6,In-App,Mobile,Domestic,Card,1
1100.04,19,65,17,High,4,E-commerce,Mobile,Domestic,Wallet,1
3545.45,20,26,105,High,2,E-commerce,Mobile,Domestic,Wallet,0
36.25,7,29,88,Medium,3,POS,Desktop,Domestic,UPI,1
308.45,4,61,8,Medium,2,E-commerce,Mobile,Domestic,UPI,0
117.74,2,63,6,Medium,2,E-commerce,Mobile,Domestic,Card,0
103.95,1,43,9,Medium,3,E-commerce,Desktop,Domestic,Wallet,0
4835.51,21,19,15,High,4,In-App,Desktop,Domestic,Wallet,1
3040.6,5,59,64,Medium,1,POS,Mobile,Domestic,Wallet,0
1606.96,6,21,88,Medium,2,E-commerce,Mobile,Domestic,Card,0
257.39,7,49,50,Low,1,POS,Mobile,Domestic,Card,1
1691.29,3,45,118,Low,2,POS,Mobile,Domestic,Card,1
1603.63,11,23,11,High,1,E-commerce,Mobile,Domestic,Card,0
475.49,23,47,95,Low,7,E-commerce,Mobile,Domestic,Card,1
1422.25,11,45,46,Low,3,E-commerce,Mobile,Domestic,Wallet,0
1270.84,16,30,45,Low,4,E-commerce,Tablet,Domestic,Card,0
2391.81,21,63,109,High,3,POS,Mobile,International,Card,1
2520.29,21,53,118,Medium,2,E-commerce,Mobile,Domestic,Wallet,1
115.91,18,27,77,Low,1,E-commerce,Mobile,Domestic,UPI,0
1173.46,8,27,94,Low,5,POS,Mobile,Domestic,UPI,0
2457.81,11,22,59,Medium,3,POS,Mobile,International,Wallet,1
1748.6,20,46,25,Low,2,E-commerce,Mobile,International,Card,1
4853.37,16,53,112,Low,5,E-commerce,Tablet,Domestic,Wallet,1
2687.44,22,29,12,High,4,E-commerce,Mobile,Domestic,Wallet,1
444.63,9,39,85,Medium,3,In-App,Mobile,Domestic,Card,1
182.96,18,63,88,Medium,2,E-commerce,Mobile,Domestic,UPI,1
2570.99,10,56,26,High,2,In-App,Tablet,International,Card,0
67.17,19,19,114,Low,2,In-App,Mobile,Domestic,UPI,0
2203.37,21,31,76,Low,2,POS,Mobile,Domestic,Card,0
7043.14,23,27,37,Low,5,E-commerce,Mobile,Domestic,Card,0
2141.96,12,65,113,High,3,E-commerce,Mobile,Domestic,Card,1
1228.25,3,20,85,Low,3,E-commerce,Mobile,Domestic,Wallet,0
2577.07,14,25,23,Medium,2,POS,Mobile,Domestic,UPI,0
1532.39,11,34,65,Low,2,POS,Desktop,International,UPI,1
1972.04,23,21,45,Medium,3,E-commerce,Desktop,Domestic,UPI,0
7095.32,9,38,74,Medium,2,POS,Mobile,Domestic,Card,1
1219.82,21,47,35,Low,1,POS,Mobile,Domestic,UPI,0
8122.73,6,36,102,Low,1,E-commerce,Mobile,Domestic,UPI,1
5893.94,23,32,48,Low,5,E-commerce,Mobile,International,Wallet,1
544.74,1,37,28,Low,6,In-App,Mobile,Domestic,UPI,0
179.71,20,59,1,High,1,E-commerce,Tablet,Domestic,UPI,1
265.56,6,47,115,Low,6,POS,Desktop,International,Card,0
45.97,7,27,72,Low,4,POS,Mobile,International,Wallet,1
248.01,20,40,41,High,0,In-App,Desktop,Domestic,UPI,1
2872.19,18,41,23,High,3,POS,Mobile,Domestic,Card,1
184.62,5,29,84,Medium,5,E-commerce,Mobile,Domestic,UPI,0
960.39,20,26,32,Medium,4,POS,Desktop,Domestic,Card,0
4658.82,7,32,87,Low,2,E-commerce,Mobile,Domestic,Card,0
58.87,21,46,7,Low,4,POS,Mobile,International,Card,0
4211.33,19,35,75,Low,4,E-commerce,Mobile,Domestic,Card,1
827.71,3,37,55,Low,2,E-commerce,Mobile,International,UPI,0
314.38,19,18,72,Low,3,In-App,Mobile,Domestic,Card,0
2982.89,23,20,43,Low,4,In-App,Mobile,International,Wallet,0
2478.5,8,25,14,Low,1,E-commerce,Mobile,International,Wallet,0
5248.54,4,56,14,Low,4,POS,Mobile,International,Card,0
3320.73,5,48,100,Low,4,E-commerce,Mobile,Domestic,UPI,1
4067.49,18,64,116,High,2,E-commerce,Desktop,Domestic,Card,0
828.33,11,25,41,High,5,E-commerce,Desktop,Domestic,Card,0
